depressed,isPartial,date
48,False,2019-08-25
61,False,2019-09-01
88,False,2019-09-08
69,False,2019-09-15
59,False,2019-09-22
74,False,2019-09-29
62,False,2019-10-06
93,False,2019-10-13
51,False,2019-10-20
86,False,2019-10-27
66,False,2019-11-03
81,False,2019-11-10
66,False,2019-11-17
37,False,2019-11-24
100,False,2019-12-01
59,False,2019-12-08
57,False,2019-12-15
46,False,2019-12-22
66,False,2019-12-29
68,False,2020-01-05
38,False,2020-01-12
57,False,2020-01-19
62,False,2020-01-26
56,False,2020-02-02
58,False,2020-02-09
73,False,2020-02-16
74,False,2020-02-23
73,False,2020-03-01
65,False,2020-03-08
53,False,2020-03-15
35,False,2020-03-22
48,False,2020-03-29
71,False,2020-04-05
76,False,2020-04-12
72,False,2020-04-19
63,False,2020-04-26
62,False,2020-05-03
47,False,2020-05-10
81,False,2020-05-17
62,False,2020-05-24
54,False,2020-05-31
60,False,2020-06-07
64,False,2020-06-14
74,False,2020-06-21
59,False,2020-06-28
70,False,2020-07-05
65,False,2020-07-12
68,False,2020-07-19
45,False,2020-07-26
62,False,2020-08-02
81,False,2020-08-09
85,True,2020-08-16
