dysphoric,isPartial,date
0,False,2019-08-25
0,False,2019-09-01
80,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
52,False,2019-09-29
0,False,2019-10-06
55,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
54,False,2019-11-03
53,False,2019-11-10
52,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
54,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
52,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
100,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
50,False,2020-02-16
0,False,2020-02-23
50,False,2020-03-01
100,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
46,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
48,False,2020-05-17
49,False,2020-05-24
49,False,2020-05-31
49,False,2020-06-07
50,False,2020-06-14
52,False,2020-06-21
54,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
52,False,2020-07-19
0,False,2020-07-26
55,False,2020-08-02
54,False,2020-08-09
0,True,2020-08-16
