suicide club + suicide group + suicide forum,isPartial,date
27,False,2019-01-06
26,False,2019-01-13
0,False,2019-01-20
26,False,2019-01-27
0,False,2019-02-03
38,False,2019-02-10
25,False,2019-02-17
25,False,2019-02-24
27,False,2019-03-03
27,False,2019-03-10
27,False,2019-03-17
26,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
27,False,2019-04-21
27,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
29,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
28,False,2019-06-16
28,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
29,False,2019-07-21
0,False,2019-07-28
28,False,2019-08-04
26,False,2019-08-11
52,False,2019-08-18
26,False,2019-08-25
51,False,2019-09-01
25,False,2019-09-08
100,False,2019-09-15
0,False,2019-09-22
26,False,2019-09-29
0,False,2019-10-06
26,False,2019-10-13
25,False,2019-10-20
38,False,2019-10-27
25,False,2019-11-03
25,False,2019-11-10
24,False,2019-11-17
25,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
25,False,2019-12-15
27,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
23,False,2020-01-12
24,False,2020-01-19
35,False,2020-01-26
31,False,2020-02-02
23,False,2020-02-09
0,False,2020-02-16
22,False,2020-02-23
0,False,2020-03-01
22,False,2020-03-08
22,False,2020-03-15
0,False,2020-03-22
21,False,2020-03-29
21,False,2020-04-05
31,False,2020-04-12
0,False,2020-04-19
21,False,2020-04-26
21,False,2020-05-03
21,False,2020-05-10
21,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
22,False,2020-06-14
22,False,2020-06-21
23,False,2020-06-28
0,False,2020-07-05
23,False,2020-07-12
23,False,2020-07-19
70,False,2020-07-26
44,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
21,False,2020-08-23
32,False,2020-08-30
