ways to kill yourself,isPartial,date
0,False,2019-09-08
49,False,2019-09-15
100,False,2019-09-22
0,False,2019-09-29
52,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
98,False,2019-11-24
0,False,2019-12-01
50,False,2019-12-08
75,False,2019-12-15
0,False,2019-12-22
50,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
45,False,2020-02-16
0,False,2020-02-23
44,False,2020-03-01
88,False,2020-03-08
43,False,2020-03-15
43,False,2020-03-22
0,False,2020-03-29
42,False,2020-04-05
41,False,2020-04-12
0,False,2020-04-19
41,False,2020-04-26
62,False,2020-05-03
42,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
46,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
43,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
42,False,2020-08-23
0,True,2020-08-30
