how to use gun,isPartial,date
100,False,2019-09-01
40,False,2019-09-08
48,False,2019-09-15
32,False,2019-09-22
38,False,2019-09-29
0,False,2019-10-06
38,False,2019-10-13
25,False,2019-10-20
0,False,2019-10-27
25,False,2019-11-03
24,False,2019-11-10
32,False,2019-11-17
25,False,2019-11-24
58,False,2019-12-01
25,False,2019-12-08
33,False,2019-12-15
27,False,2019-12-22
38,False,2019-12-29
46,False,2020-01-05
0,False,2020-01-12
36,False,2020-01-19
0,False,2020-01-26
31,False,2020-02-02
63,False,2020-02-09
0,False,2020-02-16
45,False,2020-02-23
44,False,2020-03-01
33,False,2020-03-08
22,False,2020-03-15
53,False,2020-03-22
31,False,2020-03-29
22,False,2020-04-05
32,False,2020-04-12
27,False,2020-04-19
30,False,2020-04-26
31,False,2020-05-03
49,False,2020-05-10
52,False,2020-05-17
57,False,2020-05-24
60,False,2020-05-31
20,False,2020-06-07
64,False,2020-06-14
44,False,2020-06-21
30,False,2020-06-28
69,False,2020-07-05
36,False,2020-07-12
63,False,2020-07-19
0,False,2020-07-26
68,False,2020-08-02
31,False,2020-08-09
46,False,2020-08-16
23,False,2020-08-23
