delusion,isPartial,date
0,False,2019-08-25
34,False,2019-09-01
100,False,2019-09-08
0,False,2019-09-15
34,False,2019-09-22
33,False,2019-09-29
34,False,2019-10-06
34,False,2019-10-13
34,False,2019-10-20
0,False,2019-10-27
33,False,2019-11-03
33,False,2019-11-10
66,False,2019-11-17
0,False,2019-11-24
33,False,2019-12-01
34,False,2019-12-08
67,False,2019-12-15
39,False,2019-12-22
0,False,2019-12-29
65,False,2020-01-05
31,False,2020-01-12
0,False,2020-01-19
31,False,2020-01-26
0,False,2020-02-02
64,False,2020-02-09
52,False,2020-02-16
31,False,2020-02-23
31,False,2020-03-01
31,False,2020-03-08
31,False,2020-03-15
59,False,2020-03-22
0,False,2020-03-29
29,False,2020-04-05
27,False,2020-04-12
28,False,2020-04-19
28,False,2020-04-26
28,False,2020-05-03
29,False,2020-05-10
0,False,2020-05-17
62,False,2020-05-24
31,False,2020-05-31
0,False,2020-06-07
31,False,2020-06-14
33,False,2020-06-21
0,False,2020-06-28
31,False,2020-07-05
33,False,2020-07-12
33,False,2020-07-19
34,False,2020-07-26
34,False,2020-08-02
0,False,2020-08-09
59,True,2020-08-16
