paranoia,isPartial,date
44,False,2019-08-25
49,False,2019-09-01
29,False,2019-09-08
57,False,2019-09-15
29,False,2019-09-22
29,False,2019-09-29
29,False,2019-10-06
44,False,2019-10-13
44,False,2019-10-20
58,False,2019-10-27
39,False,2019-11-03
43,False,2019-11-10
0,False,2019-11-17
61,False,2019-11-24
85,False,2019-12-01
87,False,2019-12-08
59,False,2019-12-15
33,False,2019-12-22
46,False,2019-12-29
0,False,2020-01-05
27,False,2020-01-12
27,False,2020-01-19
55,False,2020-01-26
28,False,2020-02-02
55,False,2020-02-09
68,False,2020-02-16
26,False,2020-02-23
27,False,2020-03-01
68,False,2020-03-08
27,False,2020-03-15
0,False,2020-03-22
25,False,2020-03-29
25,False,2020-04-05
35,False,2020-04-12
32,False,2020-04-19
61,False,2020-04-26
0,False,2020-05-03
37,False,2020-05-10
52,False,2020-05-17
40,False,2020-05-24
27,False,2020-05-31
27,False,2020-06-07
28,False,2020-06-14
42,False,2020-06-21
29,False,2020-06-28
55,False,2020-07-05
38,False,2020-07-12
28,False,2020-07-19
29,False,2020-07-26
29,False,2020-08-02
29,False,2020-08-09
100,True,2020-08-16
