delusional,isPartial,date
69,False,2019-09-08
34,False,2019-09-15
58,False,2019-09-22
34,False,2019-09-29
47,False,2019-10-06
34,False,2019-10-13
51,False,2019-10-20
70,False,2019-10-27
0,False,2019-11-03
82,False,2019-11-10
34,False,2019-11-17
47,False,2019-11-24
50,False,2019-12-01
85,False,2019-12-08
52,False,2019-12-15
76,False,2019-12-22
0,False,2019-12-29
100,False,2020-01-05
31,False,2020-01-12
55,False,2020-01-19
43,False,2020-01-26
32,False,2020-02-02
0,False,2020-02-09
31,False,2020-02-16
41,False,2020-02-23
46,False,2020-03-01
31,False,2020-03-08
31,False,2020-03-15
49,False,2020-03-22
44,False,2020-03-29
59,False,2020-04-05
43,False,2020-04-12
41,False,2020-04-19
58,False,2020-04-26
0,False,2020-05-03
29,False,2020-05-10
57,False,2020-05-17
29,False,2020-05-24
44,False,2020-05-31
43,False,2020-06-07
59,False,2020-06-14
71,False,2020-06-21
31,False,2020-06-28
47,False,2020-07-05
0,False,2020-07-12
65,False,2020-07-19
43,False,2020-07-26
48,False,2020-08-02
32,False,2020-08-09
65,False,2020-08-16
62,False,2020-08-23
0,True,2020-08-30
