query,value
coronavirus suicide,101850
chauvin suicide,39650
derek chauvin suicide,28750
derek chauvin,27350
suicide rates covid,18000
vanessa bryant suicide,17300
suicide rate coronavirus,15600
robinhood suicide,14200
suicide rates coronavirus,14000
sushant singh rajput,9100
reckful suicide,7300
jarrid wilson,6850
tamar braxton suicide,6050
quaden bayles,4700
quaden bayles suicide,4650
suicide rate 2020,3800
pete davidson suicide squad,3100
suicide rates 2020,3050
suicide rates since coronavirus,2250
epstein,1900
jeffrey epstein,1900
jeffrey epstein suicide,1850
epstein suicide,1750
suicide note written by 15 year old,1600
dog the bounty hunter,1350
